"","Date","Contributor","Address","City","State","Zip","Occupation","Employer","Principal Officer","Amount","CPF ID","Recipient","Tender Type ID","Tender Type Description","Record Type ID","Record Type Description","Source Description","Year","Question","Category_PID"
"1","11/4/2022","GREATER BOSTON CHAMBER OF COMMERCE","265 FRANKLIN ST #1700","BOSTON","MA","02110",NA,NA,NA,2316,95487,"Coalition to Stop the Tax Hike Amendment",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q1 2022","Corporate"
"2","11/4/2022","MASSACHUSETTS HIGH TECHNOLOGY COUNCIL, INC.","2400 DISTRICT AVE SUITE 110","BURLINGTON","MA","01803",NA,NA,NA,15000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 20th Report","2022","Q1 2022","Corporate"
"3","11/3/2022","MARKLEY BOSTON LLC","1 SUMMER ST.","BOSTON","MA","02110",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 20th Report","2022","Q1 2022","Corporate"
"4","10/31/2022","HIDDEN LAKE LLC","949 S SHADY GROVE RD. STE 401","MEMPHIS","TN","38120",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q1 2022","Corporate"
"5","10/24/2022","SWW REALTY VENTURE","400 RIVER'S EDGE DR","MEDFORD","MA","02155",NA,NA,NA,1000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q1 2022","Corporate"
"6","10/19/2022","25 FID KENNEDY, LLC","80 ROSEDALE RD.","WATERTOWN","MA","02472",NA,NA,NA,10000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q1 2022","Corporate"
"7","10/18/2022","ONDRICK MATERIALS & RECYCLING LLC","22 INDUSTRY RD","CHICOPEE","MA","01020",NA,NA,NA,2500,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q1 2022","Corporate"
"8","10/14/2022","202 WASHINGTON ST. INC","110 LARCH ROW","WENHAM","MA","01984",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"9","10/13/2022","RICHARD LUNDGREN INC","163 WASHINGTON ST","AUBURN","MA","01501",NA,NA,NA,10000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"10","10/12/2022","WEINER VENTURES","101 FERNWOOD RD.","CHESTNUT HILL","MA","02467",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"11","10/7/2022","CONCORD STREET ASSOCIATES LLC","116 FLANDERS RD","WESTBOROUGH","MA","01581",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"12","10/7/2022","HIDDEN LAKE LLC","949 S SHADY GROVE RD.","MEMPHIS","TN","38120",NA,NA,NA,75000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"13","10/6/2022","JOHN MORIARTY & ASSOC INC","3 CHURCH ST.","WINCHESTER","MA","01890",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"14","10/5/2022","OLD WEBSTER ST. LLC","1020 PLAIN ST.","MARSHFIELD","MA","02050",NA,NA,NA,10000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"15","10/2/2022","NEEDHAM BANK","1063 GREAT PLAIN AVE.","NEEDHAM","MA","02492",NA,NA,NA,10000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"16","9/30/2022","CROCKER MOUNTAIN LLC","33 BOYLSTON ST.","CHESTNUT HILL","MA","02467",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"17","9/30/2022","EXECUSPACE CONSTRUCTION CORP","140 GARFIELD AVE","WOBURN","MA","01801",NA,NA,NA,2500,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"18","9/30/2022","PPI ASSOCIATES LLC","17 YARMOUTH RD","CHESTNUT HILL","MA","02467",NA,NA,NA,75000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"19","9/30/2022","THE GUTIERREZ COMPANY","200 SUMMIT DR","BURLINGTON","MA","01803",NA,NA,NA,30000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"20","9/30/2022","WESTBORO TOYOTA","271 TURNPIKE RD","WESTBOROUGH","MA","01581",NA,NA,NA,5000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"21","9/29/2022","B&J REALTY ASSOCIATES LLC","PO BOX 1020","WESTBOROUGH","MA","01581",NA,NA,NA,20000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"22","9/29/2022","CALARE PROPERTIES INC","30 SPEEN ST.","FRAMINGHAM","MA","01701",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"23","9/27/2022","ATLANTIC MANAGEMENT CORP","205 NEWBURY ST.","FRAMINGHAM","MA","01701",NA,NA,NA,25000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q1 2022","Corporate"
"24","8/25/2022","MARKLEY BOSTON LLC","1 SUMMER ST.","BOSTON","MA","02110",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"25","8/19/2022","ABP TRUST","255 WASHINGTON ST.","NEWTON","MA","02458",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"26","8/17/2022","FOXROCK CAPITAL LLC","150 NEWPORT AVE. EXT.","QUINCY","MA","02171",NA,NA,NA,4e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"27","8/17/2022","FOXROCK COLUMBIAN REALTY LLC","350 GRANITE ST.  STE 2205","BRAINTREE","MA","02184",NA,NA,NA,250000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"28","8/17/2022","FOXROCK PROPERTIES LLC","C/O CITIZENS BANK 1200 HANCOCK ST. STE 301","QUINCY","MA","02169",NA,NA,NA,350000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"29","8/12/2022","CROSSHARBOR CAPITAL PARTNERS, LLC","1 BOSTON PL STE 2300","BOSTON","MA","02108",NA,NA,NA,5e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
